latitude,longitude,median,electorate
-37.892, 145.240, 1561, Aston
-37.516,144.066,1182,Ballarat
-36.901,144.182,1179,Bendigo
-37.931,145.186,1198,Bruce
-37.589,144.825,1329,Calwell
-37.337,145.400,1501,Casey
-37.865,145.123,1472,Chisholm
-37.746944,145.008056,1454,Cooper
-38.243,143.821,1378,Corangamite
-37.997,144.381,1201,Corio
-37.822,145.206,1547,Deakin
-38.170,145.138,1381,Dunkley
-38.346,145.324,1219,Flinders
-37.784698,144.836849,1231,Fraser
-37.836,144.846,1725,Gellibrand
-37.584,147.767,1058,Gippsland
-37.934,145.023,2018,Goldstein
-37.739,144.759,1496,Gorton
-37.892,145.24,,Hawke
-37.859,145.047,1903,Higgins
-38.044,145.281,1573,Holt
-37.946,145.097,1442,Hotham
-36.640,146.633,1116,Indi
-38.039,145.171,1578,Isaacs
-37.729,145.117,1724,Jagajaga
-37.812,145.061,2036,Kooyong
-37.971,145.424,1609,La Trobe
-37.796,144.614,1530,Lalor
-37.86,144.98,1864,Macnamara
-35.719,142.178,974,Mallee
-37.753,144.859,1604,Maribyrnong
-37.362,145.347,1660,McEwen
-37.800,144.963,1488,Melbourne
-37.763,145.191,1760,Menzies
-38.166788,145.932301,1066,Monash
-36.583191,145.141507,1112,Nicholls
-37.663,145.053,1388,Scullin
-37.703,142.448,1095,Wannon
-37.729,144.943,1494,Wills
