Electorate,State,Party,Margin
Aston,VIC,LNP,5520
Ballarat,VIC,ALP,25040
Bendigo,VIC,ALP,24157
Bruce,VIC,ALP,12550
Calwell,VIC,ALP,21069
Casey,VIC,LNP,2945
Chisholm,VIC,ALP,12378
Cooper,VIC,ALP,16262
Corangamite,VIC,ALP,15353
Corio,VIC,ALP,24894
Deakin,VIC,LNP,375
Dunkley,VIC,ALP,12008
Flinders,VIC,LNP,13248
Fraser,VIC,ALP,30401
Gellibrand,VIC,ALP,21279
Gippsland,VIC,LNP,41504
Goldstein,VIC,Independent,5635
Gorton,VIC,ALP,18434
Hawke,VIC,ALP,13298
Higgins,VIC,ALP,3941
Holt,VIC,ALP,12658
Hotham,VIC,ALP,28562
Indi,VIC,Independent,18158
Isaacs,VIC,ALP,13452
Jagajaga,VIC,ALP,25001
Kooyong,VIC,Independent,6035
La Trobe,VIC,LNP,15934
Lalor,VIC,ALP,22704
Macnamara,VIC,ALP,22791
Mallee,VIC,LNP,38817
Maribyrnong,VIC,ALP,23390
McEwen,VIC,ALP,6277
Melbourne,VIC,Greens,19594
Menzies,VIC,LNP,1377
Monash,VIC,LNP,5600
Nicholls,VIC,LNP,7251
Scullin,VIC,ALP,28400
Wannon,VIC,LNP,7933
Wills,VIC,ALP,15632
